Corridor #,Corridor Description,Corridor Num and Description,FY,Clean Corridor,Type,Detailed Type,Midpoint times,Side of street,SupDistrict,DPW Zone,Representative Street Segment,CNN (Route ID),Evaluation date,Evaluator name,Inspector,"11  Score (10, 20, or 30 score)","21  Litter (10, 20, or 30 score)","22  Grime, Leaks, Spills (% of sidewalk w/out)","24  Illegal Dumping (Y/N, where Y=none)","251  Feces, Needles, Condoms (Y/N, where Y=none)","252  Broken Glass (Y/N, where Y=none)",26  Odors (DPW),27  Odors (nonDPW),31  Public (DPW),32 Public (nonDPW),33  Private (Please indicate nearest address on attached work s,"34 Sidewalk (# on sidewalk, preiously 23)",Total # Trash Receptacles,41  Fullness,42  Cleanliness of trash receptacles,43  Cleanliness around trash receptacles,44  Painting,45  Structural integrity & function,46  Doors,Total # Trees,51  Cleanliness,52  Tree Appearance,53  Weediness,54  Clearance,11 pass,21  Pass,22  Pass,31  Pass,32 Pass,33  Pass,34 Pass,41  Pass,42  Pass,43  Pass,44  Pass,45  Pass,46  Pass,51  Pass,52  Pass,53 Pass,54  Pass,Longitude,Latitude,Location,Priority
28,Geary A: Arguello - 7th,#28 Geary A: Arguello - 7th,2017-18,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,1,C,Geary Blvd  :  Arguello Blvd  -  02nd Ave,6057101,05/18/2018 12:00:00 AM,Jordan,JBR,1.5,1.166666667,0.96,1,1,1,1,1,0,7,0,1.583333333,2,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4588587,37.78125706,,Regular
,Cortland Ave -- Folsom to Bradford,,2017-18,,Residential,Residential,"Thur 1st, 3rd 8AM to 10AM",L,9,D,Cortland Ave  :  Prentiss St  -  Nevada St,4433000,06/07/2018 12:00:00 AM,Jordan,JBR,1,1.071428571,0.9571428571,1,1,1,1,1,0,2,0,0.2142857143,0,,,,,,,12,0.9,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4119916,37.73971001,,Regular
,Lyon St -- Hayes to Turk,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,5,C,Lyon St  :  Grove St  -  Fulton St,8558000,06/25/2018 12:00:00 AM,Jordan,JBR,1.2,1,0.967,1,1,1,1,1,0,3.2,0,0.5,0,,,,,,,35,0.8211111111,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4429454,37.77529553,,Regular
,Eucalyptus Dr -- 19th to 23rd Ave,,2017-18,,Residential,Residential,"Tue 1st, 3rd 10AM to 12PM",R,7,F,Eucalyptus Dr  :  19th Ave  -  20th Ave,5269000,05/15/2018 12:00:00 AM,Jordan,JBR,1,1,0.972,1,1,1,1,1,0,1,0,0.1,0,,,,,,,0,,,,,1,1,1,1,0,1,0,,,,,,,,,,,-122.4748566,37.73106575,,Regular
,25th Ave -- Lawton to Ortega,,2017-18,,Residential,Residential,"Thu 2nd, 4th  8AM to 10AM",L,4,F,25th Ave  :  Lawton St  -  Moraga St,1385000,06/14/2018 12:00:00 AM,Jordan,JBR,1,1,0.9726666667,1,1,1,1,1,0,0.7333333333,0,0.0666666667,0,,,,,,,26,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4831615,37.75768385,,Priority
,Kirkham St -- 30th to 35th Ave,,2017-18,,Residential,Residential,"Fri 2nd, 4th 9AM to 11AM",R,4,F,Kirkham St  :  34th Ave  -  35th Ave,7872000,06/08/2018 12:00:00 AM,Jordan,JBR,1,1.2,0.956,1,1,1,1,1,0,1.8,0,0.2,0,,,,,,,7,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4929369,37.75912292,,Priority
,03rd Ave: Hugo St - Irving St,,2017-18,,Residential,Residential,"Fri 2nd, 4th 11AM to 1PM",L,5,C,03rd Ave  :  Hugo St  -  Irving St,161000,06/08/2018 12:00:00 AM,Jordan,JBR,1,1,0.9619444444,1,1,1,1,1,0,1.805555556,0,0.1111111111,0,,,,,,,16,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.459953,37.76525678,,Priority
89,6th St: Market - Folsom,#89 6th St: Market - Folsom,2017-18,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,6,B,06th St  :  Market St  -  Stevenson St,326000,05/23/2018 12:00:00 AM,Jordan,JBR,1,1,0.9527777778,1,1,1,1,1,0.1111111111,3.111111111,0,0.1111111111,0,,,,,,,22,1,1,1,1,1,1,1,0,0,1,0,,,,,,,1,1,1,1,-122.410292,37.78223058,,Regular
96,Fillmore B: O'Farrell,#96 Fillmore B: O'Farrell,2017-18,,Commercial,Residential/Commercial,Mon 8AM to 12PM,L,5,C,Ofarrell St  :  Fillmore St  -  Steiner St,9738000,06/11/2018 12:00:00 AM,Jordan,JBR,1,1,0.98,1,1,1,1,1,0,1.25,0,0,0,,,,,,,9,0.7777777778,1,1,1,1,1,1,1,0,1,1,,,,,,,0,1,1,1,-122.4327062,37.78329259,,Priority
48,3rd St E: Oakdale - Williams,#48 3rd St E: Oakdale - Williams,2017-18,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,10,E,03rd St  :  Oakdale Ave  -  Palou Ave,212101,05/23/2018 12:00:00 AM,Jordan,JBR,1,1,0.9585714286,1,1,1,1,1,0,1.642857143,0,0.0714285714,7,1,1,1,1,1,1,34,0.9306122449,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.3906938,37.73479736,,Regular
